HAC193&	21:50:09.56&	-10:18:00.61&	V = 17.039&	D = 17.96&	   &	   \
HAC194&	21:51:20.63&	-03:51:08.10&	V = 17.007&	D = 17.64&	-270.9&	MDM\
HAC195&	21:51:39.48&	-11:14:17.56&	V = 16.692&	D = 15.34&	-244.3&	MDM\
HAC196&	21:51:48.13&	-10:50:48.66&	V = 17.038&	D = 17.93&	   &	   \
HAC197&	21:53:07.03&	-05:25:50.77&	V = 16.636&	D = 15.14&	-25.0&	MDM\
HAC198&	21:57:38.29&	-04:36:19.80&	V = 17.17&	D = 18.74&	   &	   \
HAC199&	20:15:02.26&	-10:08:38.98&	V = 17.181&	D = 17.82&	   &	   \
HAC200&	20:21:51.22&	-11:11:55.36&	V = 17.035&	D = 17.72&	   &	   \
HAC201&	20:22:05.06&	-09:08:24.83&	V = 16.816&	D = 15.37&	   &	   \
HAC202&	20:27:31.29&	-15:33:13.64&	V = 17.186&	D = 18.98&	   &	   \
HAC203&	20:29:49.80&	-00:49:22.58&	V = 17.418&	D = 17.5&	   &	   \
HAC204&	20:32:20.44&	-13:49:26.04&	V = 16.976&	D = 17.74&	   &	   \
HAC205&	20:35:53.04&	-14:46:33.28&	V = 17.034&	D = 18.53&	   &	   \
HAC206&	20:38:53.69&	-10:53:07.12&	V = 16.82&	D = 16.21&	   &	   \
HAC207&	20:47:06.53&	-10:01:30.32&	V = 17.209&	D = 19.14&	   &	   \
HAC208&	20:47:12.32&	-09:20:57.12&	V = 17.102&	D = 18.12&	133.3&	MDM\
HAC209&	20:50:38.52&	-06:04:53.58&	V = 17.086&	D = 17.88&	   &	   \
HAC210&	20:54:22.53&	-14:20:53.74&	V = 16.672&	D = 15.53&	   &	   \
HAC211&	20:57:26.72&	-07:02:23.03&	V = 16.724&	D = 15.6&	-195.4&	MDM\
HAC212&	20:59:03.01&	+00:52:40.04&	V = 16.909&	D = 16.69&	   &	   \
HAC213&	20:59:51.53&	-05:58:34.03&	V = 17.171&	D = 19.24&	   &	   \
HAC214&	21:01:03.56&	-18:55:52.50&	V = 17.067&	D = 18.19&	   &	   \
HAC215&	21:04:37.63&	-11:12:38.56&	V = 17.212&	D = 17.63&	   &	   \
HAC216&	21:07:34.66&	-18:26:27.20&	V = 17.222&	D = 18.93&	   &	   \
HAC217&	21:13:23.13&	+03:13:11.64&	V = 17.197&	D = 18.86&	   &	   \
HAC218&	21:14:27.77&	-16:19:03.90&	V = 16.788&	D = 15.2&	   &	   \
HAC219&	21:17:03.29&	-02:40:58.69&	V = 17.219&	D = 19.46&	   &	   \
HAC220&	21:17:12.38&	-03:03:06.91&	V = 17.146&	D = 18.89&	   &	   \
HAC221&	21:34:26.06&	-17:18:32.26&	V = 17.008&	D = 17.92&	   &	   \
HAC222&	21:36:29.43&	-05:49:08.04&	V = 16.852&	D = 16.81&	   &	   \
HAC223&	21:41:54.58&	-14:41:27.42&	V = 16.629&	D = 15.02&	   &	   \
HAC224&	21:45:05.07&	-10:39:04.28&	V = 17.167&	D = 19.34&	   &	   \
